Age,Gender,Annual_Income_USD,City_Type,Daily_Commute_km,Number_of_Cars_Owned,Current_Car_Type,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Home_Charging_Possible,Environmental_Concern_Level,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
44,2,118688.0,2,81.1,1,2,13,9,1,2.0,1,0,0
60,1,84287.0,0,32.9,2,0,0,0,1,5.0,1,0,1
55,0,101814.0,2,5.0,2,2,8,8,0,2.0,1,1,0
35,1,116042.0,1,58.9,1,1,2,6,1,2.0,0,0,0
64,0,63647.0,2,40.6,1,2,14,9,0,1.0,0,0,0
45,1,92502.0,2,49.3,1,2,13,19,0,5.0,1,0,0
52,1,99320.0,1,36.6,2,1,3,9,0,1.0,0,0,0
33,1,34931.0,2,51.8,1,0,2,13,0,3.0,1,1,0
47,1,41847.0,2,49.4,3,0,7,9,1,5.0,1,0,0
51,0,91292.0,2,71.4,2,2,6,5,0,1.0,1,0,0
48,1,63912.0,2,29.2,1,0,5,16,0,2.0,1,0,0
62,0,46223.0,1,44.3,2,2,3,7,1,3.0,0,0,0
47,0,102868.0,1,52.2,1,2,7,2,1,4.0,1,0,1
34,0,84287.0,1,69.6,2,1,4,2,1,3.0,1,0,1
27,0,77759.0,0,13.0,2,0,1,1,1,5.0,1,0,1
43,0,137568.0,0,15.2,1,2,0,1,1,2.0,0,0,0
53,0,68713.0,2,50.9,2,2,10,11,1,4.0,1,0,1
36,0,97685.0,2,26.4,1,2,6,4,1,3.0,0,0,0
35,0,52349.0,1,74.5,1,0,6,5,0,4.0,0,1,0
55,1,90350.0,1,64.2,2,1,0,5,0,4.0,1,2,0
60,1,71949.0,1,25.1,1,1,5,4,1,1.0,0,0,0
53,1,143044.0,2,27.3,2,2,5,13,1,4.0,1,0,1
28,1,75226.0,1,69.5,2,1,7,6,0,4.0,1,1,0
44,1,30000.0,2,36.2,1,1,13,16,1,3.0,1,0,0
45,0,81991.0,2,19.5,2,1,3,9,0,3.0,0,1,0
39,1,30000.0,2,31.0,1,1,13,15,0,3.0,1,1,0
30,0,30000.0,2,26.4,3,1,9,8,1,1.0,0,0,0
30,0,88411.0,0,41.5,3,2,0,3,1,4.0,1,0,0
31,0,82374.0,2,81.2,2,2,8,14,0,3.0,0,0,0
49,1,135989.0,1,5.0,2,3,3,2,0,3.0,1,0,1
64,1,80731.0,2,72.7,1,1,9,10,1,1.0,0,0,0
62,0,30000.0,1,43.9,2,2,5,9,1,3.0,1,0,0
32,1,119804.0,1,80.9,2,0,6,7,1,4.0,1,0,1
62,0,147235.0,2,43.2,1,2,11,16,1,1.0,1,0,0
29,1,95129.0,1,5.0,2,0,1,9,1,1.0,1,0,0
48,0,161488.0,2,33.4,3,2,13,14,0,2.0,0,0,0
60,1,72262.0,2,40.9,2,1,8,11,0,1.0,1,1,0
40,0,68909.0,2,44.3,2,2,11,4,0,4.0,1,0,1
59,1,73458.0,1,28.2,1,0,3,5,1,2.0,1,0,0
28,1,96810.0,2,40.6,2,2,5,12,1,1.0,0,0,0
43,1,109349.0,1,5.0,2,0,5,1,1,3.0,1,0,0
38,0,98035.0,2,78.0,2,2,7,5,0,1.0,0,1,0
28,1,57048.0,1,42.6,2,2,0,5,1,2.0,1,0,0
62,1,73961.0,0,44.2,1,2,0,3,1,1.0,1,0,0
54,1,66570.0,1,50.6,1,1,7,6,1,1.0,1,0,0
47,0,78293.0,2,39.3,1,3,10,8,0,4.0,1,2,0
46,1,114842.0,2,30.0,1,1,2,3,0,4.0,0,0,1
46,1,172772.0,1,50.4,2,1,6,9,1,3.0,1,0,1
42,1,92251.0,2,61.1,1,2,9,16,0,5.0,1,0,1
48,0,70475.0,0,60.9,1,1,1,2,0,1.0,1,1,0
68,1,75946.0,0,31.6,2,1,1,0,1,4.0,0,0,0
55,1,134063.0,2,48.5,2,2,4,12,1,5.0,1,0,1
61,1,100474.0,1,67.2,1,2,6,5,1,4.0,1,0,1
32,0,30000.0,0,5.0,2,2,1,0,1,3.0,1,0,1
45,0,90029.0,1,53.5,2,2,4,5,1,2.0,0,0,0
52,0,100447.0,1,86.0,1,2,1,1,1,3.0,0,0,0
36,0,59901.0,2,102.8,3,2,2,18,0,3.0,1,1,0
30,0,32083.0,2,19.4,1,1,13,19,0,4.0,1,0,0
47,0,132386.0,2,39.4,2,1,4,4,0,2.0,0,1,0
50,1,68380.0,0,5.0,1,0,0,2,1,4.0,1,0,0
43,1,64417.0,2,5.4,1,2,6,14,0,5.0,0,0,0
38,1,45138.0,1,55.3,1,1,4,8,1,1.0,0,0,0
63,0,30033.0,2,6.5,4,1,4,12,0,2.0,0,0,0
28,0,80601.0,1,62.5,1,2,7,5,0,4.0,0,1,0
39,1,72949.0,2,17.4,2,1,13,4,1,4.0,1,0,1
48,1,93316.0,2,34.5,1,2,14,9,0,2.0,0,0,0
38,1,30000.0,0,20.1,2,3,0,0,1,1.0,1,0,0
49,0,89539.0,1,32.1,2,2,2,5,0,3.0,1,0,0
45,0,95247.0,2,44.0,2,2,3,11,0,3.0,1,1,0
25,1,122872.0,2,72.1,1,1,13,17,1,5.0,0,0,0
54,2,71212.0,2,54.3,2,3,10,12,0,5.0,1,0,0
36,0,84287.0,1,55.1,2,2,1,9,1,2.0,0,0,0
65,0,174000.0,1,45.6,1,2,2,3,0,3.0,0,0,0
52,0,104538.0,1,21.2,1,3,1,5,1,5.0,1,0,1
58,0,67575.0,2,29.7,2,2,3,13,0,3.0,1,0,0
49,0,40878.0,0,5.0,1,0,2,0,1,3.0,1,0,0
61,0,65775.0,0,26.9,2,2,0,3,1,5.0,1,0,1
63,1,53486.0,1,5.0,2,2,6,4,1,3.0,0,0,0
34,1,133659.0,2,19.0,1,1,10,18,0,3.0,1,0,0
28,1,72182.0,1,21.7,1,2,4,5,1,1.0,1,0,0
68,1,105134.0,0,12.7,2,2,2,2,1,2.0,0,0,0
26,0,57160.0,2,94.0,2,3,14,5,0,3.0,1,0,0
40,1,124982.0,2,65.3,1,0,9,11,0,5.0,1,0,1
29,1,90353.0,2,42.8,1,2,6,4,0,3.0,0,1,0
29,1,145914.0,2,32.7,1,2,6,6,1,1.0,0,0,0
61,1,84287.0,1,35.2,2,2,7,5,1,1.0,0,0,0
43,0,30244.0,2,59.4,1,2,11,14,1,2.0,1,0,0
39,1,73940.0,1,59.1,2,2,7,8,1,1.0,1,0,0
53,1,117729.0,2,71.7,4,1,13,13,1,5.0,0,0,0
42,1,30000.0,2,64.5,3,2,2,10,0,4.0,1,2,0
48,0,77008.0,1,81.3,1,0,2,7,1,5.0,1,0,1
41,1,84906.0,2,15.1,3,3,8,7,1,4.0,0,0,0
31,1,44080.0,0,45.9,1,1,0,2,1,4.0,0,0,0
32,1,72754.0,1,57.4,1,2,2,4,1,4.0,0,0,0
45,1,110321.0,2,8.4,1,2,13,18,0,4.0,1,0,1
35,1,75822.0,2,73.4,2,2,3,4,0,2.0,1,0,0
67,0,126746.0,0,23.0,2,1,1,1,1,3.0,1,0,1
57,1,54139.0,2,45.7,3,1,5,13,0,2.0,0,1,0
68,1,84287.0,1,44.5,2,0,4,7,1,4.0,1,0,1
64,1,79224.0,1,38.6,2,2,4,9,1,5.0,1,0,0
48,0,35750.0,1,31.7,2,2,1,9,0,5.0,1,2,0
47,0,70350.0,0,5.0,1,2,2,0,1,3.0,1,0,0
46,1,124058.0,1,41.6,1,1,5,6,1,2.0,1,0,0
51,0,62144.0,2,5.0,1,2,5,14,0,1.0,0,0,0
37,1,63825.0,1,40.45,4,2,4,2,1,5.0,1,0,1
27,0,95207.0,1,42.7,3,2,4,2,1,4.0,0,0,0
65,0,30000.0,2,39.3,2,2,7,16,1,4.0,1,0,0
42,0,123312.0,2,45.7,1,0,2,3,1,5.0,0,0,0
26,1,65556.0,1,14.0,1,1,3,9,1,5.0,0,0,0
50,0,78252.0,0,44.7,1,2,2,3,1,5.0,1,0,1
27,1,30000.0,1,37.6,1,1,2,2,1,5.0,1,0,0
41,0,97763.0,2,67.3,2,2,13,17,0,4.0,1,0,0
27,1,96295.0,2,12.1,2,2,3,18,1,2.0,0,0,0
49,1,144762.0,2,27.5,1,3,2,6,1,3.0,0,0,0
40,0,114869.0,0,63.3,1,1,0,2,1,1.0,1,0,1
54,0,30000.0,0,27.3,3,0,1,2,1,3.0,0,0,0
31,0,98373.0,0,32.7,1,0,2,3,1,3.0,1,0,1
53,1,92473.0,1,29.8,1,3,6,3,0,1.0,1,1,0
67,1,116886.0,1,69.1,2,1,4,6,1,2.0,0,0,0
47,0,133640.0,1,85.0,2,2,7,1,1,1.0,1,1,0
45,1,47885.0,2,57.9,3,1,6,13,1,4.0,1,0,1
50,0,35150.0,0,25.0,1,1,1,3,1,1.0,0,0,0
58,0,92385.0,1,70.1,3,3,0,5,1,5.0,1,0,1
32,0,86258.0,2,55.1,2,2,12,10,0,3.0,0,1,0
33,1,94589.0,2,17.3,1,2,4,12,1,1.0,0,0,0
41,0,112037.0,1,7.0,2,0,6,3,1,4.0,1,0,1
54,1,98396.0,1,17.3,3,1,5,6,1,3.0,1,0,1
25,1,51207.0,1,40.8,1,2,1,9,1,5.0,1,0,1
69,0,108462.0,2,76.3,4,2,8,3,0,2.0,1,1,0
65,1,40588.0,2,45.4,1,1,13,8,0,4.0,1,1,0
64,1,72483.0,0,46.4,2,2,0,2,1,2.0,1,0,0
41,1,58052.0,0,55.5,3,1,1,1,1,4.0,0,0,0
63,0,36242.0,2,46.4,2,1,3,15,1,3.0,1,0,0
64,2,92760.0,1,28.9,1,2,1,9,1,2.0,0,0,0
64,0,30000.0,1,53.4,1,2,5,2,1,2.0,0,0,0
60,1,76110.0,0,45.4,2,3,1,1,1,4.0,0,0,0
50,0,59336.0,0,22.7,1,2,2,2,1,3.0,1,0,0
56,1,72047.0,2,75.0,2,2,10,4,0,2.0,0,1,0
36,0,123501.0,2,33.7,2,0,9,15,0,1.0,0,0,0
33,1,44583.0,1,45.0,3,2,3,6,1,2.0,1,0,1
36,1,73155.0,1,39.6,1,2,7,1,1,5.0,1,0,0
37,1,40754.0,2,5.0,1,2,6,8,1,1.0,1,0,0
40,0,122777.0,2,72.6,1,1,5,10,1,4.0,0,0,0
47,1,120429.0,2,19.6,1,1,2,3,1,4.0,0,0,0
62,0,126487.0,1,26.7,1,1,2,5,1,2.0,0,0,0
27,1,137573.0,1,85.4,2,1,7,1,1,4.0,0,0,0
63,1,140561.0,2,57.5,2,2,8,19,0,3.0,1,0,1
67,1,112536.0,1,24.6,2,2,4,3,0,5.0,1,0,1
26,0,119807.0,1,48.4,2,2,5,3,1,3.0,1,0,0
59,0,52740.0,1,10.2,2,2,7,5,1,2.0,0,0,0
62,1,66471.0,2,73.9,2,1,12,7,0,5.0,0,1,0
60,0,134700.0,2,37.2,2,2,12,18,0,2.0,1,0,1
67,1,131660.0,0,94.6,1,2,0,2,1,3.0,0,0,1
62,0,99628.0,1,40.3,2,2,6,4,1,5.0,1,0,1
69,1,57622.0,2,50.7,1,1,12,3,0,1.0,0,1,0
69,0,102455.0,1,37.9,1,1,1,6,1,2.0,1,0,0
56,0,95334.0,2,5.0,1,3,11,17,1,5.0,1,0,1
40,1,174000.0,1,40.7,2,0,0,9,1,2.0,0,0,0
46,1,30000.0,2,53.2,2,0,4,8,1,4.0,0,0,0
28,1,96964.0,2,52.7,1,0,14,15,0,2.0,1,0,0
34,1,59286.0,2,5.0,1,0,5,6,0,4.0,0,1,0
54,0,87726.0,2,42.9,2,2,9,4,1,5.0,0,0,1
55,0,30000.0,1,19.8,2,0,0,9,1,5.0,1,0,1
60,1,96891.0,1,14.4,4,3,1,6,1,5.0,1,0,0
65,0,87712.0,2,5.0,2,3,12,17,1,2.0,1,0,0
49,0,79769.0,2,30.3,2,2,12,18,1,3.0,1,0,0
55,1,95679.0,2,5.0,1,3,7,3,1,2.0,0,0,0
64,0,134501.0,2,48.9,1,2,13,19,1,4.0,0,0,0
47,0,91775.0,0,32.1,1,0,2,3,1,2.0,1,0,0
42,1,107212.0,1,72.4,2,1,5,3,0,3.0,0,1,0
29,1,73985.0,2,32.3,1,1,10,12,0,4.0,1,0,1
42,1,66977.0,2,5.0,1,0,2,10,0,4.0,1,0,0
43,2,155798.0,2,48.2,3,1,8,13,0,2.0,1,0,0
44,0,93100.0,0,82.9,1,2,0,3,1,2.0,1,0,0
43,0,133234.0,2,5.0,2,1,13,8,1,3.0,0,0,0
32,0,94902.0,2,50.4,1,2,12,13,0,3.0,0,1,0
28,1,39901.0,1,78.8,2,3,1,4,1,3.0,0,0,0
59,0,55542.0,1,13.1,1,0,5,9,1,2.0,1,0,0
37,0,61690.0,2,60.3,2,1,2,12,0,2.0,1,1,0
55,1,77274.0,2,41.2,2,2,8,16,0,4.0,0,1,0
45,0,115755.0,2,33.1,1,1,11,17,1,5.0,1,0,1
30,1,83367.0,2,65.1,3,2,5,3,0,2.0,1,1,0
34,0,109775.0,2,39.6,1,1,9,18,0,3.0,0,0,0
59,1,164179.0,2,65.1,2,1,4,11,0,2.0,1,1,0
30,0,57624.0,2,66.5,1,1,13,12,0,2.0,1,1,0
50,1,105601.0,1,56.8,4,2,5,5,1,5.0,1,0,1
39,0,104074.0,2,34.0,2,1,5,17,1,1.0,0,0,0
53,1,75723.0,2,16.5,2,0,11,16,0,5.0,1,0,1
35,1,30000.0,2,43.7,2,2,14,16,1,5.0,1,0,0
36,1,121824.0,2,55.3,2,3,8,13,0,1.0,0,1,0
58,0,30000.0,1,99.0,1,1,1,3,1,4.0,1,0,0
34,1,69465.0,2,6.0,1,0,10,10,0,4.0,1,0,1
68,0,64020.0,2,53.3,1,2,14,15,1,3.0,1,0,0
45,1,66434.0,2,96.0,3,0,2,3,0,1.0,0,1,0
43,1,102231.0,1,75.5,2,2,2,5,1,3.0,0,1,0
55,1,89729.0,0,18.4,2,2,0,3,1,2.0,1,0,0
28,1,30000.0,2,67.0,2,3,8,9,0,4.0,0,1,0
54,0,30000.0,2,25.2,3,2,6,16,0,4.0,0,0,0
52,0,84758.0,2,28.3,1,1,6,18,0,4.0,1,0,0
42,0,53122.0,1,18.9,1,2,3,2,1,5.0,0,0,0
32,0,88201.0,1,61.8,3,1,7,3,1,5.0,1,0,1
50,0,112540.0,0,69.1,2,1,1,1,1,4.0,0,0,0
55,0,47030.0,2,25.0,1,3,2,3,1,3.0,1,0,1
63,0,128429.0,2,85.4,1,2,8,19,0,1.0,0,0,0
46,0,80353.0,2,51.5,1,2,14,4,1,3.0,1,0,0
54,1,30000.0,1,5.0,1,2,6,1,1,1.0,0,0,0
31,0,40256.0,2,76.1,1,0,13,9,1,3.0,0,0,0
31,0,87678.0,2,42.2,3,1,6,6,0,2.0,1,0,0
36,0,76258.0,1,5.0,2,2,7,7,0,4.0,1,0,0
58,1,63571.0,2,66.0,2,2,13,14,1,3.0,0,0,0
69,1,102883.0,1,92.1,3,1,5,8,1,5.0,1,0,1
59,1,73232.0,1,33.0,1,1,3,1,1,1.0,1,0,0
64,1,67598.0,2,35.2,1,2,14,19,0,1.0,0,0,0
57,1,64221.0,2,41.5,3,2,7,3,0,4.0,1,0,0
48,1,71090.0,1,25.8,3,2,2,5,1,4.0,1,0,1
39,0,103376.0,2,53.8,3,1,2,8,1,3.0,0,0,0
46,0,68476.0,1,67.3,4,3,1,9,1,2.0,0,0,0
51,0,71934.0,2,28.2,2,0,7,9,0,1.0,1,0,0
39,1,93141.0,2,92.1,2,2,12,4,0,2.0,1,1,0
45,1,101793.0,0,82.1,2,1,1,0,1,1.0,1,0,0
26,0,72223.0,0,40.0,1,1,2,1,1,1.0,0,0,0
31,1,109262.0,2,28.6,1,1,9,19,0,1.0,0,0,0
50,0,64358.0,2,96.6,1,3,14,19,1,1.0,1,0,0
57,0,90805.0,1,34.3,4,2,7,6,1,1.0,0,0,0
57,1,115831.0,1,31.6,1,0,6,4,1,2.0,0,0,0
56,0,56521.0,2,31.4,2,1,10,7,0,3.0,1,0,0
66,0,108802.0,1,82.6,1,2,0,4,1,3.0,1,0,0
67,0,30000.0,2,5.0,2,2,5,4,1,2.0,0,0,0
40,1,59962.0,2,9.1,2,1,13,4,1,2.0,0,0,0
48,0,124829.0,2,62.7,2,2,2,12,0,5.0,0,1,0
47,0,109149.0,1,58.1,1,1,2,5,1,5.0,1,0,1
55,1,62006.0,2,22.0,2,3,3,15,0,1.0,0,0,0
64,1,81449.0,2,20.4,2,2,8,9,1,2.0,1,0,0
32,0,32275.0,0,31.8,1,0,2,0,1,2.0,1,0,0
49,1,90350.0,1,54.1,2,1,5,1,1,4.0,0,0,0
66,0,100048.0,1,5.0,2,1,4,8,1,4.0,1,0,1
61,0,81108.0,1,38.0,1,2,6,9,1,4.0,0,0,0
56,0,77121.0,2,80.3,2,2,9,9,1,5.0,1,0,1
41,0,30000.0,1,43.1,1,2,0,7,1,4.0,0,0,0
48,1,107191.0,2,17.9,1,1,6,12,0,2.0,1,0,0
47,1,40478.0,2,96.7,1,2,4,19,1,3.0,0,0,0
57,0,86732.0,2,57.2,2,1,5,6,0,1.0,1,0,0
28,1,51317.0,2,34.2,2,0,7,6,0,5.0,1,0,0
37,0,93603.0,2,29.8,1,0,6,15,1,4.0,1,0,0
32,1,82783.0,2,51.3,3,2,6,4,0,2.0,1,1,0
34,1,44909.0,0,36.4,1,3,2,3,1,4.0,1,0,0
48,0,152819.0,1,24.6,1,1,0,1,1,4.0,1,0,0
56,0,73288.0,1,5.5,1,3,6,6,1,3.0,0,0,0
64,0,90003.0,1,52.9,1,1,2,4,1,3.0,1,0,1
64,1,51726.0,0,28.0,1,1,0,0,1,2.0,1,0,0
25,0,119401.0,1,17.2,2,2,3,1,1,3.0,1,0,0
49,1,131482.0,1,32.3,1,1,3,5,1,1.0,1,1,0
37,1,102679.0,1,60.9,2,2,0,4,1,2.0,1,0,0
54,0,134191.0,2,44.3,3,0,8,12,1,4.0,1,0,1
44,0,89671.0,0,30.4,1,2,1,3,1,5.0,0,0,0
56,1,83359.0,1,49.0,2,2,6,8,1,1.0,0,0,0
29,1,55613.0,0,59.2,3,2,0,2,1,4.0,1,0,0
30,0,96869.0,1,46.1,1,1,7,4,0,1.0,0,1,0
32,0,107495.0,2,78.0,1,2,4,8,0,5.0,1,1,1
65,1,72600.0,1,23.6,1,0,2,3,0,1.0,1,0,0
34,1,117588.0,2,49.1,1,1,8,18,0,4.0,0,0,1
47,1,122743.0,2,11.0,1,0,6,3,0,2.0,1,1,0
39,0,109272.0,1,43.4,2,2,2,6,1,3.0,1,0,0
58,0,93217.0,1,72.3,1,1,4,1,1,2.0,0,0,0
63,1,106779.0,1,62.7,2,1,3,7,1,3.0,0,0,0
50,0,51202.0,0,42.3,1,2,2,0,1,2.0,1,0,0
65,1,96161.0,2,10.6,2,2,2,10,1,1.0,0,0,0
42,1,104489.0,1,38.6,2,3,5,5,1,1.0,1,0,0
69,1,67689.0,2,14.6,1,2,7,12,1,3.0,1,0,0
57,0,78720.0,2,55.1,1,2,7,15,0,2.0,0,1,0
44,0,64373.0,1,8.5,1,1,0,5,1,5.0,1,0,1
58,1,54241.0,2,18.1,2,1,11,15,0,1.0,1,0,0
64,1,76940.0,2,42.5,3,2,13,10,0,5.0,1,0,0
65,0,84906.0,2,80.3,3,2,6,10,1,4.0,1,0,0
52,0,84287.0,0,54.3,2,1,2,2,1,4.0,1,0,1
38,0,69340.0,2,49.5,3,1,6,7,1,1.0,1,0,0
31,1,73253.0,2,13.5,2,1,12,3,0,4.0,0,1,0
40,0,84287.0,1,92.6,2,1,6,4,1,3.0,1,0,0
53,0,38341.0,0,30.4,2,0,2,3,1,1.0,0,0,0
43,0,113143.0,1,44.7,1,2,6,5,0,5.0,0,1,0
55,1,101747.0,2,30.5,1,1,7,8,0,2.0,0,0,0
26,0,77719.0,1,46.4,3,1,6,2,0,2.0,1,1,0
65,1,50809.0,2,22.7,2,2,5,17,1,4.0,1,0,0
69,0,97474.0,0,32.0,2,2,1,1,1,2.0,1,0,0
43,1,125860.0,0,66.3,1,2,2,0,1,4.0,0,0,0
59,1,109156.0,2,5.0,1,1,5,13,0,4.0,0,0,0
30,0,31488.0,1,5.0,1,3,3,2,1,5.0,1,0,0
44,0,86934.0,1,66.2,1,0,1,7,1,3.0,1,0,0
52,0,89212.0,0,70.6,2,3,2,1,1,1.0,0,0,0
51,1,142842.0,2,21.7,1,3,3,16,0,3.0,0,0,0
45,1,64584.0,2,78.3,1,0,14,13,1,3.0,0,0,0
48,1,41327.0,0,44.8,1,2,2,3,1,3.0,1,0,0
45,0,92887.0,1,10.1,2,2,0,6,0,1.0,1,1,0
42,0,54116.0,1,76.1,2,1,3,7,0,4.0,1,2,0
25,0,81190.0,2,65.6,3,1,11,7,1,3.0,1,0,1
69,1,106333.0,0,31.3,1,1,0,3,1,2.0,0,0,0
29,1,87595.0,1,65.5,2,3,6,8,1,5.0,1,0,0
35,0,47771.0,2,82.9,3,3,7,19,0,4.0,0,0,0
43,1,103485.0,1,46.5,3,2,7,5,1,4.0,1,0,1
62,1,42562.0,2,47.1,2,2,7,3,1,3.0,0,0,0
54,0,71462.0,0,42.7,2,1,1,1,0,1.0,1,1,0
34,1,70443.0,0,5.0,2,1,2,0,1,5.0,1,0,1
30,1,129606.0,1,82.3,3,2,0,2,1,4.0,1,0,0
62,0,124368.0,2,28.6,2,2,11,13,1,2.0,1,0,0
60,1,174000.0,1,44.3,2,2,3,9,0,3.0,1,1,1
40,0,67081.0,2,10.4,2,2,11,17,1,3.0,0,0,0
65,0,82508.0,1,65.8,3,1,7,4,0,1.0,0,0,0
67,0,95721.0,1,5.0,2,1,4,3,1,4.0,0,0,0
32,1,113725.0,2,24.2,3,2,3,5,1,4.0,0,0,0
62,2,53431.0,2,18.2,1,2,12,19,0,5.0,0,0,0
32,1,108881.0,2,5.0,2,1,11,3,0,3.0,1,0,1
52,1,126405.0,2,34.4,2,1,8,6,0,1.0,1,0,0
58,0,127346.0,2,60.6,3,2,7,5,1,5.0,1,0,1
61,2,93027.0,0,46.9,1,0,0,1,1,5.0,0,0,0
68,0,30689.0,2,15.6,1,1,6,9,0,5.0,1,0,0
52,1,67830.0,2,62.3,2,2,7,10,0,1.0,0,1,0
27,0,122988.0,2,33.4,1,2,5,12,0,2.0,1,1,0
28,1,45249.0,1,81.3,2,1,7,1,1,2.0,1,0,0
31,1,63410.0,2,24.8,2,1,13,10,0,1.0,1,0,0
66,1,80295.0,1,13.0,3,1,7,9,1,4.0,1,0,0
28,0,83548.0,1,22.2,2,1,4,3,1,2.0,1,0,0
33,1,85499.0,0,26.7,2,1,2,2,1,4.0,1,0,1
49,1,74057.0,2,41.5,2,2,13,7,1,3.0,1,0,0
28,1,73743.0,2,106.0,1,1,8,17,0,4.0,0,0,0
36,1,95539.0,2,18.0,1,0,6,4,1,4.0,1,0,0
30,1,30000.0,1,42.9,1,1,7,1,1,3.0,0,0,0
69,1,30000.0,1,17.6,2,0,7,9,1,3.0,1,0,0
53,1,84287.0,1,34.1,2,1,1,9,1,3.0,0,0,0
45,2,94487.0,2,68.5,1,1,13,7,1,5.0,1,0,1
66,0,62930.0,1,41.4,1,2,1,2,1,4.0,0,0,0
40,1,65608.0,2,43.8,1,2,11,6,0,1.0,1,1,0
34,1,64387.0,1,48.1,2,2,6,6,1,4.0,1,0,0
30,0,64417.0,2,37.2,2,1,12,10,0,2.0,0,0,0
58,0,55166.0,2,30.7,2,2,7,18,0,3.0,1,0,0
52,1,30000.0,2,13.7,2,0,5,3,1,1.0,1,0,0
